id	reason
rxn00008	CI
rxn00014	Abstract
rxn00023	Abstract
rxn00027	CI
rxn00058	Abstract
rxn00059	CI
rxn00073	MI
rxn00081	MI
rxn00087	CI
rxn00091	CI
rxn00110	MI
rxn00111	MI
rxn00112	CI
rxn00115	MI
rxn00145	Abstract
rxn00146	Abstract
rxn00238	Abstract
rxn00240	Abstract
rxn00261	CI
rxn00267	Abstract
rxn00277	MI
rxn00296	MI
rxn00349	MI
rxn00378	Abstract
rxn00388	CI
rxn00389	CI
rxn00390	CI
rxn00443	Abstract
rxn00447	CI
rxn00496	MI
rxn00567	Abstract
rxn00574	CI
rxn00590	CI
rxn00597	CI
rxn00622	Abstract
rxn00626	Abstract
rxn00644	CI
rxn00645	CI
rxn00664	MI
rxn00665	MI
rxn00666	MI
rxn00667	MI
rxn00681	MI
rxn00685	CI
rxn00687	CI
rxn00689	MI
rxn00732	MI
rxn00733	MI
rxn00750	CI
rxn00757	CI
rxn00759	MI
rxn00760	MI
rxn00761	MI
rxn00809	CI
rxn00811	CI
rxn00820	MI
rxn00828	MI
rxn00969	MI
rxn00982	CI
rxn00983	CI
rxn00984	CI
rxn01040	MI
rxn01047	MI
rxn01066	CI
rxn01078	Abstract
rxn01085	CI
rxn01087	Abstract
rxn01088	Abstract
rxn01089	Abstract
rxn01090	Abstract
rxn01091	Abstract
rxn01092	Abstract
rxn01120	MI
rxn01155	CI
rxn01178	CI
rxn01198	MI
rxn01234	Abstract
rxn01235	MI
rxn01266	MI
rxn01272	MI
rxn01342	MI
rxn01381	Abstract
rxn01382	Abstract
rxn01400	MI
rxn01432	MI
rxn01433	MI
rxn01470	MI
rxn01526	MI
rxn01533	MI
rxn01534	MI
rxn01535	CI
rxn01569	CI
rxn01591	MI
rxn01592	MI
rxn01641	Abstract
rxn01654	Abstract
rxn01659	MI
rxn01666	Abstract
rxn01667	Abstract
rxn01668	Abstract
rxn01681	CI
rxn01720	Abstract
rxn01736	MI
rxn01756	Abstract
rxn01759	CI
rxn01766	MI
rxn01796	MI
rxn01824	CI
rxn01844	Abstract
rxn01845	Abstract
rxn01890	Abstract
rxn01891	Abstract
rxn01892	Abstract
rxn01897	MI
rxn01915	MI
rxn01940	CI
rxn01958	MI
rxn01963	MI
rxn01968	Abstract
rxn01982	CI
rxn01983	CI
rxn01988	Abstract
rxn01992	MI
rxn02001	MI
rxn02017	CI
rxn02024	Abstract
rxn02025	MI
rxn02027	MI
rxn02030	CI
rxn02047	MI
rxn02072	CI
rxn02101	Abstract
rxn02116	CI
rxn02146	CI
rxn02152	MI
rxn02162	MI
rxn02195	Abstract
rxn02205	CI
rxn02236	Abstract
rxn02237	Abstract
rxn02240	MI
rxn02252	MI
rxn02253	CI
rxn02254	CI
rxn02256	MI
rxn02333	MI
rxn02334	Abstract
rxn02368	MI
rxn02391	Abstract
rxn02408	Abstract
rxn02409	Abstract
rxn02422	MI
rxn02423	Abstract
rxn02450	CI
rxn02453	Abstract
rxn02454	Abstract
rxn02462	Abstract
rxn02471	CI
rxn02485	MI
rxn02486	Abstract
rxn02487	Abstract
rxn02491	CI
rxn02492	Abstract
rxn02493	Abstract
rxn02494	Abstract
rxn02495	Abstract
rxn02553	MI
rxn02556	CI
rxn02572	MI
rxn02573	MI
rxn02582	Abstract
rxn02583	Abstract
rxn02605	MI
rxn02619	CI
rxn02626	MI
rxn02627	MI
rxn02657	MI
rxn02662	CI
rxn02664	MI
rxn02670	Abstract
rxn02671	Abstract
rxn02692	MI
rxn02698	MI
rxn02707	CI
rxn02714	MI
rxn02723	MI
rxn02731	MI
rxn02736	MI
rxn02757	MI
rxn02769	CI
rxn02776	CI
rxn02777	MI
rxn02781	MI
rxn02793	CI
rxn02799	MI
rxn02806	CI
rxn02813	MI
rxn02820	Abstract
rxn02821	Abstract
rxn02822	Abstract
rxn02824	MI
rxn02838	CI
rxn02846	MI
rxn02856	CI
rxn02859	MI
rxn02870	MI
rxn02918	MI
rxn02919	MI
rxn02920	CI
rxn02921	Abstract
rxn02922	Abstract
rxn02953	MI
rxn02954	MI
rxn02955	MI
rxn02963	MI
rxn02964	MI
rxn02965	MI
rxn02966	MI
rxn02968	MI
rxn02984	MI
rxn02987	MI
rxn03006	MI
rxn03028	MI
rxn03036	MI
rxn03059	CI
rxn03077	Abstract
rxn03081	MI
rxn03083	MI
rxn03091	MI
rxn03099	CI
rxn03100	Abstract
rxn03102	Abstract
rxn03103	MI
rxn03115	CI
rxn03118	MI
rxn03121	MI
rxn03124	Abstract
rxn03128	MI
rxn03132	Abstract
rxn03151	Abstract
rxn03162	Abstract
rxn03163	MI
rxn03170	Abstract
rxn03171	Abstract
rxn03172	MI
rxn03177	CI
rxn03178	Abstract
rxn03179	CI
rxn03180	Abstract
rxn03183	CI
rxn03184	Abstract
rxn03185	Abstract
rxn03186	Abstract
rxn03187	Abstract
rxn03189	MI
rxn03190	MI
rxn03191	MI
rxn03197	CI
rxn03209	CI
rxn03225	MI
rxn03230	Abstract
rxn03232	Abstract
rxn03237	MI
rxn03257	CI
rxn03259	CI
rxn03262	MI
rxn03266	MI
rxn03276	CI
rxn03280	MI
rxn03285	MI
rxn03338	CI
rxn03348	MI
rxn03349	MI
rxn03350	MI
rxn03355	CI
rxn03357	MI
rxn03369	Abstract
rxn03370	MI
rxn03371	CI
rxn03376	CI
rxn03377	MI
rxn03381	CI
rxn03386	MI
rxn03387	CI
rxn03399	MI
rxn03401	MI
rxn03404	MI
rxn03415	Abstract
rxn03417	MI
rxn03418	MI
rxn03420	MI
rxn03441	CI
rxn03443	CI
rxn03449	MI
rxn03450	MI
rxn03451	MI
rxn03454	CI
rxn03459	Abstract
rxn03460	Abstract
rxn03461	Abstract
rxn03462	Abstract
rxn03463	Abstract
rxn03464	Abstract
rxn03465	Abstract
rxn03466	Abstract
rxn03467	Abstract
rxn03475	MI
rxn03476	MI
rxn03480	MI
rxn03503	Abstract
rxn03509	Abstract
rxn03515	MI
rxn03520	MI
rxn03521	MI
rxn03522	MI
rxn03533	CI
rxn03539	MI
rxn03543	MI
rxn03548	CI
rxn03549	CI
rxn03552	CI
rxn03553	CI
rxn03565	CI
rxn03566	CI
rxn03577	CI
rxn03579	MI
rxn03580	CI
rxn03582	MI
rxn03589	CI
rxn03591	CI
rxn03592	CI
rxn03616	Abstract
rxn03628	Abstract
rxn03645	MI
rxn03647	MI
rxn03648	MI
rxn03656	MI
rxn03664	MI
rxn03672	MI
rxn03673	MI
rxn03689	MI
rxn03692	MI
rxn03722	CI
rxn03723	CI
rxn03724	CI
rxn03730	CI
rxn03731	CI
rxn03732	CI
rxn03733	CI
rxn03735	CI
rxn03736	CI
rxn03737	CI
rxn03738	CI
rxn03756	CI
rxn03757	CI
rxn03761	MI
rxn03767	MI
rxn03768	CI
rxn03769	MI
rxn03770	MI
rxn03771	MI
rxn03773	CI
rxn03776	MI
rxn03777	MI
rxn03784	MI
rxn03785	CI
rxn03787	CI
rxn03789	CI
rxn03790	CI
rxn03791	CI
rxn03792	CI
rxn03793	CI
rxn03794	CI
rxn03795	CI
rxn03803	MI
rxn03810	MI
rxn03811	MI
rxn03812	MI
rxn03813	MI
rxn03815	CI
rxn03818	CI
rxn03822	CI
rxn03823	CI
rxn03825	CI
rxn03834	MI
rxn03844	MI
rxn03857	MI
rxn03862	Abstract
rxn03865	CI
rxn03900	MI
rxn03905	Abstract
rxn03937	MI
rxn03940	MI
rxn03945	MI
rxn03965	MI
rxn03967	MI
rxn03977	CI
rxn03978	Abstract
rxn03987	MI
rxn03999	CI
rxn04035	Abstract
rxn04044	Abstract
rxn04053	MI
rxn04055	MI
rxn04062	CI
rxn04069	CI
rxn04072	MI
rxn04075	MI
rxn04081	CI
rxn04083	CI
rxn04091	MI
rxn04098	MI
rxn04099	CI
rxn04102	MI
rxn04103	MI
rxn04115	MI
rxn04116	MI
rxn04117	MI
rxn04118	MI
rxn04119	MI
rxn04120	MI
rxn04121	MI
rxn04122	MI
rxn04123	MI
rxn04125	MI
rxn04128	MI
rxn04129	MI
rxn04138	MI
rxn04144	Abstract
rxn04145	MI
rxn04146	MI
rxn04150	CI
rxn04151	CI
rxn04155	CI
rxn04156	CI
rxn04157	CI
rxn04163	MI
rxn04164	CI
rxn04186	MI
rxn04187	MI
rxn04188	MI
rxn04189	MI
rxn04190	MI
rxn04191	MI
rxn04192	MI
rxn04193	MI
rxn04194	MI
rxn04197	MI
rxn04198	CI
rxn04199	MI
rxn04200	MI
rxn04201	MI
rxn04202	MI
rxn04203	MI
rxn04204	MI
rxn04205	MI
rxn04206	MI
rxn04207	MI
rxn04212	MI
rxn04213	MI
rxn04214	MI
rxn04215	CI
rxn04216	CI
rxn04217	CI
rxn04218	CI
rxn04220	MI
rxn04221	MI
rxn04222	CI
rxn04223	MI
rxn04224	MI
rxn04225	MI
rxn04226	MI
rxn04227	CI
rxn04228	CI
rxn04229	CI
rxn04230	MI
rxn04231	MI
rxn04232	MI
rxn04233	Abstract
rxn04239	CI
rxn04240	CI
rxn04241	CI
rxn04242	CI
rxn04243	CI
rxn04244	CI
rxn04245	CI
rxn04248	CI
rxn04249	CI
rxn04250	CI
rxn04251	CI
rxn04252	MI
rxn04253	MI
rxn04254	MI
rxn04255	MI
rxn04256	MI
rxn04257	MI
rxn04258	MI
rxn04259	MI
rxn04260	CI
rxn04261	CI
rxn04263	MI
rxn04265	CI
rxn04267	CI
rxn04268	CI
rxn04272	MI
rxn04273	MI
rxn04279	CI
rxn04281	CI
rxn04282	CI
rxn04283	MI
rxn04287	MI
rxn04300	CI
rxn04303	CI
rxn04304	MI
rxn04305	MI
rxn04306	MI
rxn04307	CI
rxn04309	MI
rxn04310	MI
rxn04314	MI
rxn04315	CI
rxn04319	MI
rxn04320	MI
rxn04326	CI
rxn04328	CI
rxn04329	CI
