ko_id	seed_ids	definition	kegg_ids
K10046	rxn07488;rxn00643;rxn07487	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	R07673;R07672;R00889
K10047	rxn00883;rxn00881;rxn00882;rxn07489	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]	R07674;R01185;R01186;R01187
K23352	rxn02169	glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit delta	R03028
K23351	rxn02169	glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit gamma	R03028
K22026	rxn00835;rxn00914;rxn00365	nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-]	R01131;R00513;R01228
K23359	rxn03849	biuret amidohydrolase [EC:3.5.1.84]	R05563
K11381	rxn39826;rxn39309;rxn01244;rxn39453;rxn39308;rxn06031;rxn07435;rxn07434;rxn07432;rxn07433;rxn06621;rxn39828;rxn39827;rxn07430;rxn07431	2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	R10997;R10996;R07602;R04225;R07601;R07600;R07599;R07604;R07603;R01701;R01702
K11389	rxn07191;rxn39795	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	R07159
K10026	rxn39964	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	R10002
K11358	rxn00260;rxn15507;rxn00527;rxn00493;rxn15090;rxn01757;rxn15091;rxn01906	aspartate aminotransferase [EC:2.6.1.1]	R02619;R00694;R00355;R02433;R00896;R05052;R00734
K10027	rxn16538;rxn11620;rxn06790;rxn06792;rxn16537	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	R04800;R09692;R04787;R04798;R09691
K22002	rxn01606	aconitate Delta-isomerase [EC:5.3.3.7]	R02244
K22003	rxn01606	aconitate Delta-isomerase [EC:5.3.3.7]	R02244
K12694	rxn04106	vinorine synthase [EC:2.3.1.160]	R05876
K09065	rxn05012	N-acetylornithine carbamoyltransferase [EC:2.1.3.9]	R07245
K12693	rxn15431;rxn02704;rxn15432	strictosidine beta-D-glucosidase [EC:3.2.1.105]	R03820
K12696	rxn04086	tabersonine 16-hydroxylase [EC:1.14.14.103]	R05855
K12695	rxn15420;rxn15419;rxn02631;rxn04112	raucaffricine beta-D-glucosidase / vomilenine glucosyltransferase [EC:3.2.1.125 2.4.1.219]	R05882;R03703
K12692	rxn02702;rxn15429	hyoscyamine (6S)-dioxygenase [EC:1.14.11.11]	R03812
K12691	rxn31489	oligosaccharyl transferase complex subunit OST5	R05976
K12698	rxn02311	deacetylvindoline O-acetyltransferase [EC:2.3.1.107]	R03230
K12697	rxn04088	deacetoxyvindoline 4-hydroxylase [EC:1.14.11.20]	R05857
K12699	rxn04101	minovincinine 19-hydroxy-O-acetyltransferase	R05870
K22013	rxn15901;rxn14340	magnesium dechelatase [EC:4.99.1.10]	R09033;R08584
K22011	rxn04045	sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]	R05807;R11626
K12661	rxn02676	L-rhamnonate dehydratase [EC:4.2.1.90]	R03774
K12660	rxn01619	2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]	R02261
K13990	rxn01654;rxn02283;rxn01641	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]	R02287;R03189;R02302
K09011	rxn05109	(R)-citramalate synthase [EC:2.3.1.182]	R07399
K12669	rxn31489	oligosaccharyltransferase complex subunit gamma	R05976
K11337	rxn15925	bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]	R09055
K12668	rxn31489	oligosaccharyltransferase complex subunit epsilon	R05976
K11334	rxn15923;rxn39928;rxn15930	3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]	R09060;R09053
K12665	rxn11902;rxn11900	cytochrome P450 family 26 subfamily C	R08390;R08392
K11333	rxn15923;rxn39928;rxn15930	3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]	R09060;R09053
K12664	rxn11902;rxn11900	cytochrome P450 family 26 subfamily B	R08390;R08392
K13998	rxn01601;rxn12649;rxn14120;rxn00684;rxn00686;rxn01520;rxn01602	dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]	R00936;R00937;R00939;R02101;R02236;R02235;R00940
K11336	rxn15929;rxn15924	3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]	R09059;R09054
K12667	rxn31489	oligosaccharyltransferase complex subunit delta (ribophorin II)	R05976
K13995	rxn02523	maleamate amidohydrolase [EC:3.5.1.107]	R03540
K11335	rxn15923;rxn39928;rxn15930	3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]	R09060;R09053
K12666	rxn31489	oligosaccharyltransferase complex subunit alpha (ribophorin I)	R05976
K00672	rxn02431	formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	R03390
K00673	rxn00601	arginine N-succinyltransferase [EC:2.3.1.109]	R00832
