# accession	TC1	TC2	genesymbol	length	familytype	product_name	product_name_orig
TIGR00001	51.2	51.2	rpmI	63	equivalog	50S ribosomal protein L35	ribosomal protein bL35
TIGR00002	45.3	45.3	rpsP	78	equivalog	30S ribosomal protein S16	ribosomal protein bS16
TIGR00005	192.7	192.7	NULL	298	subfamily	RluA family pseudouridine synthase	pseudouridine synthase, RluA family
TIGR00006	154.3	154.3	rsmH	310	equivalog	16S rRNA (cytosine(1402)-N(4))-methyltransferase	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	228.95	228.95	hisA	231	equivalog	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00008	61.15	61.15	infA	69	equivalog	translation initiation factor IF-1	translation initiation factor IF-1
TIGR00009	48.3	48.3	rpmB	58	equivalog	50S ribosomal protein L28	ribosomal protein bL28
TIGR00010	206	206	NULL	253	subfamily	YchF/TatD family DNA exonuclease	hydrolase, TatD family
TIGR00011	153.25	153.25	ybaK	152	equivalog	Cys-tRNA(Pro) deacylase	Cys-tRNA(Pro) deacylase
TIGR00012	22.6	22.6	rpmC	56	equivalog	50S ribosomal protein L29	ribosomal protein uL29
TIGR00014	106.05	106.05	arsC	114	equivalog	arsenate reductase (glutaredoxin)	arsenate reductase (glutaredoxin)
TIGR00016	293.4	293.4	NULL	405	subfamily	acetate/propionate family kinase	acetate kinase
TIGR00017	135.55	135.55	cmk	217	equivalog	(d)CMP kinase	cytidylate kinase
TIGR00018	212.75	212.75	panC	283	equivalog	pantoate--beta-alanine ligase	pantoate--beta-alanine ligase
TIGR00019	423.25	423.25	prfA	361	equivalog	peptide chain release factor 1	peptide chain release factor 1
TIGR00020	383.15	383.15	prfB	365	equivalog	peptide chain release factor 2	peptide chain release factor 2
TIGR00021	126.4	126.4	rpiA	218	equivalog	ribose 5-phosphate isomerase A	ribose 5-phosphate isomerase A
TIGR00022	45.5	45.5	NULL	155	subfamily	YhcH/YjgK/YiaL family protein	YhcH/YjgK/YiaL family protein
TIGR00023	137.2	137.2	plsY	196	equivalog	glycerol-3-phosphate 1-O-acyltransferase	acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR00026	46.35	46.35	NULL	111	subfamily	nitroreductase family deazaflavin-dependent oxidoreductase	deazaflavin-dependent oxidoreductase, nitroreductase family
TIGR00027	93.55	93.55	NULL	259	subfamily	SAM-dependent methyltransferase	methyltransferase, TIGR00027 family
TIGR00029	52.9	52.9	rpsT	87	equivalog	30S ribosomal protein S20	ribosomal protein bS20
TIGR00030	28.95	28.95	rpsU	58	equivalog	30S ribosomal protein S21	ribosomal protein bS21
TIGR00031	303.75	303.75	glf	378	equivalog	UDP-galactopyranose mutase	UDP-galactopyranose mutase
TIGR00032	268.2	268.2	argG	394	equivalog	argininosuccinate synthase	argininosuccinate synthase
TIGR00033	212.2	212.2	aroC	351	equivalog	chorismate synthase	chorismate synthase
TIGR00034	173.2	173.2	NULL	342	equivalog	3-deoxy-7-phosphoheptulonate synthase	3-deoxy-7-phosphoheptulonate synthase
TIGR00035	93.1	93.1	NULL	236	subfamily	amino acid racemase	aspartate racemase
TIGR00036	122	122	dapB	270	equivalog	4-hydroxy-tetrahydrodipicolinate reductase	4-hydroxy-tetrahydrodipicolinate reductase
TIGR00037	75.45	75.45	eif5A	130	equivalog	translation initiation factor IF-5A	translation elongation factor IF5A
TIGR00038	185.8	185.8	efp	184	equivalog	elongation factor P	translation elongation factor P
TIGR00040	56.25	56.25	NULL	158	subfamily	YfcE family phosphodiesterase	phosphodiesterase, MJ0936 family
TIGR00041	83.25	83.25	tmk	196	equivalog	dTMP kinase	dTMP kinase
TIGR00042	145.35	145.35	rdgB	184	equivalog	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00043	42.05	42.05	ybeY	111	equivalog	rRNA maturation RNase YbeY	rRNA maturation RNase YbeY
TIGR00044	106.25	106.25	NULL	229	hypoth_equivalog	YggS family pyridoxal phosphate-dependent enzyme	pyridoxal phosphate enzyme, YggS family
TIGR00045	168.45	168.45	NULL	375	subfamily	glycerate kinase	glycerate kinase
TIGR00046	41	41	NULL	240	subfamily	RsmE family RNA methyltransferase	RNA methyltransferase, RsmE family
TIGR00048	290	290	rlmN	355	equivalog	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase
TIGR00049	58.8	58.8	NULL	106	subfamily	iron-sulfur cluster assembly accessory protein	iron-sulfur cluster assembly accessory protein
TIGR00050	167.15	167.15	NULL	233	subfamily	TrmJ/YjtD family RNA methyltransferase	RNA methyltransferase, TrmH family, group 1
TIGR00051	68.7	68.7	NULL	117	subfamily	YbgC/FadM family acyl-CoA thioesterase	acyl-CoA thioester hydrolase, YbgC/YbaW family
TIGR00053	87.25	87.25	NULL	92	subfamily	YafQ family addiction module toxin	addiction module toxin component, YafQ family
TIGR00054	147.55	147.55	rseP	421	equivalog	RIP metalloprotease RseP	RIP metalloprotease RseP
TIGR00055	109.55	109.55	uppS	228	equivalog	di-trans,poly-cis-decaprenylcistransferase	di-trans,poly-cis-decaprenylcistransferase
TIGR00056	212.2	212.2	NULL	260	subfamily	MlaE family lipid ABC transporter permease subunit	ABC transport permease subunit
TIGR00057	123.2	123.2	NULL	202	equivalog	threonylcarbamoyl-AMP synthase	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00058	131.85	131.85	NULL	115	subfamily	hemerythrin family non-heme iron protein	hemerythrin family non-heme iron protein
TIGR00059	70.05	70.05	rplQ	112	equivalog	50S ribosomal protein L17	ribosomal protein bL17
TIGR00060	87.85	87.85	rplR	114	equivalog	50S ribosomal protein L18	ribosomal protein uL18
TIGR00061	43.7	43.7	rplU	101	equivalog	50S ribosomal protein L21	ribosomal protein bL21
TIGR00062	90.35	90.35	rpmA	83	equivalog	50S ribosomal protein L27	ribosomal protein bL27
TIGR00063	181.6	181.6	folE	180	equivalog	GTP cyclohydrolase I FolE	GTP cyclohydrolase I
TIGR00064	260.7	260.7	ftsY	279	equivalog	signal recognition particle-docking protein FtsY	signal recognition particle-docking protein FtsY
TIGR00065	295.2	295.2	ftsZ	353	equivalog	cell division protein FtsZ	cell division protein FtsZ
TIGR00066	357.85	357.85	ggt	518	equivalog	gamma-glutamyltransferase	gamma-glutamyltransferase
TIGR00067	146.65	146.65	murI	251	equivalog	glutamate racemase	glutamate racemase
TIGR00068	122.45	122.45	gloA	150	equivalog	lactoylglutathione lyase	lactoylglutathione lyase
TIGR00069	243.8	243.8	hisD	393	equivalog_domain	histidinol dehydrogenase	histidinol dehydrogenase
TIGR00070	75.75	75.75	hisG	183	equivalog	ATP phosphoribosyltransferase	ATP phosphoribosyltransferase
TIGR00071	142.85	142.85	truA	228	equivalog	tRNA pseudouridine(38-40) synthase TruA	tRNA pseudouridine(38-40) synthase
TIGR00072	47.45	47.45	NULL	145	superfamily	hydrogenase maturation protease	hydrogenase maturation protease
